distance_km,beds,icu,equipment_match,severity_weight,has_ventilator,has_defibrillator,has_ct_scan,has_blood_bank,has_icu_equipment,accepting,specialist_present,hospital_load,condition_severity,ot_available,was_selected
0.749759366979318,0.7712009862815363,0.4,1.0,1.0,1,1,1,1,1,1,1,0.35,3,0.6666666666666666,1
0.749759366979318,0.5622660235692741,0.2,1.0,1.0,1,1,1,1,1,1,1,0.45,3,0.16666666666666666,0
0.7490184116898506,0.5239276485562145,0.08,0.5,1.0,1,0,0,0,0,1,0,0.35,3,0.16666666666666666,0
0.28831006838902906,0.38560049314076816,0.02,0.0,1.0,0,0,0,0,0,1,0,0.15,3,0.3333333333333333,0
0.05551372258188879,0.2588103241013484,0.0,0.0,1.0,0,0,0,0,0,1,0,0.0,3,0.16666666666666666,0
0.14495112062146745,0.38560049314076816,0.04,0.0,1.0,0,0,0,0,0,1,0,0.45,3,0.0,0
0.04948675242946535,0.576258140012668,0.12,0.5,1.0,1,0,0,1,0,1,0,0.35,3,0.3333333333333333,0
0.20955560339711093,0.6610609759511434,0.2,0.5,1.0,1,0,1,1,1,1,0,0.1,3,0.6666666666666666,0
0.32049211850682097,0.8068182131420991,0.44,1.0,1.0,1,1,1,1,1,1,1,0.2,3,0.16666666666666666,1
0.8379850368873898,0.2229270791556561,0.0,0.0,1.0,0,0,0,0,0,1,0,0.15,3,0.3333333333333333,0
0.8197722694013861,0.4458541583113122,0.04,0.0,1.0,0,0,0,1,0,1,0,0.0,3,0.16666666666666666,0
0.06545630160328031,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,0.45,3,0.6666666666666666,0
0.7502738913452524,0.288129070006334,0.0,0.0,1.0,0,0,0,0,0,1,0,0.05,3,0.0,0
0.05889561054920516,0.31291771646377814,0.02,0.0,1.0,0,0,0,0,0,1,0,0.2,3,0.0,0
0.31244546868832446,0.2588103241013484,0.0,0.0,1.0,0,0,0,0,0,1,0,0.65,3,0.3333333333333333,0
0.308407833328489,0.31291771646377814,0.02,0.0,1.0,0,0,0,0,0,1,0,0.15,3,0.16666666666666666,0
