timestamp,container,active_connections
2026-04-27T08:15:49.1219937+05:30,mediroute_db,NA
2026-04-27T08:16:06.3166126+05:30,mediroute_db,NA
2026-04-27T08:16:23.3339099+05:30,mediroute_db,NA
2026-04-27T08:16:40.4291248+05:30,mediroute_db,NA
2026-04-27T08:16:57.5561487+05:30,mediroute_db,NA
2026-04-27T08:17:14.6699482+05:30,mediroute_db,NA
2026-04-27T08:17:31.4766038+05:30,mediroute_db,NA
2026-04-27T08:17:48.5940174+05:30,mediroute_db,NA
2026-04-27T08:18:05.7030021+05:30,mediroute_db,NA
2026-04-27T08:18:22.4477085+05:30,mediroute_db,NA
2026-04-27T08:18:39.4929302+05:30,mediroute_db,NA
2026-04-27T08:18:56.6091124+05:30,mediroute_db,NA
2026-04-27T08:19:13.4768134+05:30,mediroute_db,NA
2026-04-27T08:19:30.6666102+05:30,mediroute_db,NA
2026-04-27T08:19:47.7771490+05:30,mediroute_db,NA
2026-04-27T08:20:04.8819209+05:30,mediroute_db,NA
2026-04-27T08:20:21.5564089+05:30,mediroute_db,NA
2026-04-27T08:20:38.6679463+05:30,mediroute_db,NA
2026-04-27T08:20:55.7757127+05:30,mediroute_db,NA
2026-04-27T08:21:12.5583134+05:30,mediroute_db,NA
2026-04-27T08:21:29.6874220+05:30,mediroute_db,NA
2026-04-27T08:21:46.8010716+05:30,mediroute_db,NA
2026-04-27T08:22:04.6332790+05:30,mediroute_db,NA
2026-04-27T08:22:21.7592846+05:30,mediroute_db,NA
2026-04-27T08:22:38.8947981+05:30,mediroute_db,NA
2026-04-27T08:22:56.0189468+05:30,mediroute_db,NA
2026-04-27T08:23:12.6774275+05:30,mediroute_db,NA
2026-04-27T08:23:29.8016042+05:30,mediroute_db,NA
2026-04-27T08:23:46.9105610+05:30,mediroute_db,NA
2026-04-27T08:24:03.7027891+05:30,mediroute_db,NA
2026-04-27T08:24:20.8292074+05:30,mediroute_db,NA
2026-04-27T08:24:37.9575502+05:30,mediroute_db,NA
2026-04-27T08:24:55.0688025+05:30,mediroute_db,NA
2026-04-27T08:25:11.8029222+05:30,mediroute_db,NA
2026-04-27T08:25:28.8977633+05:30,mediroute_db,NA
2026-04-27T08:25:46.0134020+05:30,mediroute_db,NA
2026-04-27T08:26:02.7911940+05:30,mediroute_db,NA
2026-04-27T08:26:19.9690353+05:30,mediroute_db,NA
